"","motion_no","title","proposed_by","tabled_dt","debate_dt","motion_text"
"31","NDM6050","NDM6050 - Assembly Debate","Paul Davies",2016-06-22,2016-06-22,"To propose that the National Assembly for Wales:1. Recognises the role air pollution plays in the health outcomes of communities across Wales.2. Notes that the World Health Organisation has found that particulate pollution has risen 8 per cent globally in the past five years, with experts in the UK believing that about 29,000 deaths are linked to air pollution.3. Expresses unease at levels of air pollution in Wales, noting that Crumlin, in Caerphilly, has the highest nitrogen dioxide levels recorded outside of London, and that evidence provided in a Public Health Wales NHS 2015 consultation response found a direct correlation between air pollution, and an increased prevalence in respiratory disease. 4. Calls on the Welsh Government to develop an effective low emission strategy (LES), in consultation with stakeholders, to reduce the emissions of air pollutants.'World Health Organisation Global Urban Ambient Air Pollution Database''Public Health Wales NHS Trust Response to Consultation on 'How do you measure a nation's progress', proposals for the national indicators to measure whether Wales is achieving the seven well-being goals in the Well-being of Future Generations (Wales) Act 2015'"
"32","NDM6051","NDM6051 - Short Debate","Rhianon Passmore",2016-06-22,2016-06-22,"Short Debate"
"33","NDM6052","NDM6052 - Assembly Debate","Simon Thomas",2016-06-22,2016-06-22,"To propose that the National Assembly for Wales:Believes that the Wales Bill should make provision to enable the National Assembly for Wales to introduce the single transferable vote at all levels, except for elections to the European Parliament and House of Commons, to ensure fair representation for all political viewpoints."
"34","NDM6053","NDM6053 - Assembly Debate","Simon Thomas",2016-06-22,2016-06-22,"To propose that the National Assembly for Wales:Believes that:(a) the principles of open government should be maintained in all areas of the Welsh Government's responsibilities;(b) the Ministerial Code should be laid before and approved by the National Assembly for Wales; and that(c) an independent adjudicator should be appointed to report publicly on any alleged breaches of the Code.'Welsh Government Ministerial Code – May 2016'"
"35","NDM6054","NDM6054 - Government Debate","Jane Hutt",2016-06-28,2016-06-28,"To propose that the National Assembly for Wales:Notes the Welsh Government priorities for mental health as set out in the 'Together for Mental Health' Delivery Plan 2016-19. ""Together for Mental Health"" Delivery Plan 2016-19"
"36","NDM6055","NDM6055 - Government Debate","Jane Hutt",2016-06-28,2016-06-28,"To propose that the National Assembly for Wales:1. Believes that the Assembly should change its name to reflect its constitutional status as a national parliament.2. Invites the Presiding Officer and Assembly Commission to consider the implications of such a change and how best to give it effect."
"37","NDM6056","NDM6056 - Assembly Debate","Elin Jones",2016-06-28,2016-06-28,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.2A, agrees that the political groups from which the chairs of committees are elected will be as follows:"
"38","NDM6057","NDM6057 - Assembly Debate","Elin Jones",2016-06-28,2016-06-28,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.2T, resolves that Standing Orders 17.2A to 17.2S (election of committee chairs) shall not apply in relation to the Committee for the Scrutiny of the First Minister."
"39","NDM6058","NDM6058 - Assembly Debate","Neil Hamilton",2016-06-29,2016-06-29,"To propose that the National Assembly for Wales:Believes that following Brexit, Tata Steel in Port Talbot has a better chance of survival."
"40","NDM6059","NDM6059 - Short Debate","Bethan Sayed",2016-06-29,2016-06-29,"We need our unions more than ever. Looking at the work of unions in Wales in combatting austerity and encouraging greater membership and support of unions."
"41","NDM6060","NDM6060 - Assembly Debate","Elin Jones",2016-06-29,2016-06-29,"The National Assembly for Wales:"
"42","NDM6061","NDM6061 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Hefin David (Welsh Labour), John Griffiths (Welsh Labour), Julie Morgan (Welsh Labour), Llyr Gruffydd (Plaid Cymru), Mohammad Asghar (Welsh Conservatives), Darren Millar (Welsh Conservatives) and Mark Reckless (UKIP Cymru) as members of the Children, Young People and Education Committee."
"43","NDM6062","NDM6062 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Jayne Bryant (Welsh Labour), Vikki Howells (Welsh Labour), Huw Irranca-Davies (Welsh Labour), Jenny Rathbone (Welsh Labour), Siân Gwenllian (Plaid Cymru), Simon Thomas (Plaid Cymru) and David Melding (Welsh Conservatives) as members of the Climate Change, Environment and Rural Affairs Committee."
"44","NDM6063","NDM6063 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Hannah Blythyn (Welsh Labour), Dawn Bowden (Welsh Labour), Jeremy Miles (Welsh Labour), Lee Waters (Welsh Labour), Dai Lloyd (Plaid Cymru), Suzy Davies (Welsh Conservatives) and Neil Hamilton (UKIP Cymru) as members of the Culture, Welsh Language and Communications Committee."
"45","NDM6064","NDM6064 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Hannah Blythyn (Welsh Labour), Hefin David (Welsh Labour), Vikki Howells (Welsh Labour), Jeremy Miles (Welsh Labour), Adam Price (Plaid Cymru), Mark Isherwood (Welsh Conservatives) and David J Rowlands (UKIP Cymru) as members of the Economy, Infrastructure and Skills Committee."
"46","NDM6065","NDM6065 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Rhianon Passmore (Welsh Labour), Jenny Rathbone (Welsh Labour), Joyce Watson (Welsh Labour), Siân Gwenllian (Plaid Cymru), Bethan Jenkins (Plaid Cymru), Janet Finch-Saunders (Welsh Conservatives) and Gareth Bennett (UKIP Cymru) as members of the Equality, Local Government and Communities Committee."
"47","NDM6066","NDM6066 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Dawn Bowden (Welsh Labour), Jayne Bryant (Welsh Labour), Julie Morgan (Welsh Labour), Lynne Neagle (Welsh Labour), Rhun ap Iorwerth (Plaid Cymru), Angela Burns (Welsh Conservatives) and Caroline Jones (UKIP Cymru) as members of the Health, Social Care and Sport Committee."
"48","NDM6067","NDM6067 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Dawn Bowden (Welsh Labour), Jeremy Miles (Welsh Labour), Eluned Morgan (Welsh Labour), Steffan Lewis (Plaid Cymru), Suzy Davies (Welsh Conservatives), Mark Isherwood (Welsh Conservatives) and Michelle Brown (UKIP Cymru) as members of the Reserve Policy and Legislation Committee."
"49","NDM6068","NDM6068 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Dafydd Elis-Thomas (Plaid Cymru), David Melding (Welsh Conservatives) and Michelle Brown (UKIP Cymru) as members of the Constitutional and Legislative Affairs Committee."
"50","NDM6069","NDM6069 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Mike Hedges (Welsh Labour), Eluned Morgan (Welsh Labour), David Rees (Welsh Labour), Steffan Lewis (Plaid Cymru), Nick Ramsay (Welsh Conservatives) and Mark Reckless (UKIP Cymru) as members of the Finance Committee."
"51","NDM6070","NDM6070 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Neil McEvoy (Plaid Cymru), Janet Finch-Saunders (Welsh Conservatives) and Gareth Bennett (UKIP Cymru) as members of the Petitions Committee."
"52","NDM6071","NDM6071 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:Mike Hedges (Welsh Labour), Rhianon Passmore (Welsh Labour), Lee Waters (Welsh Labour), Rhun ap Iorwerth (Plaid Cymru), Mohammad Asghar (Welsh Conservatives) and Neil Hamilton (UKIP Cymru) as members of the Public Accounts Committee."
"53","NDM6072","NDM6072 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:1. Dafydd Elis-Thomas (Plaid Cymru), Paul Davies (Welsh Conservatives) and David J Rowlands (UKIP Cymru) as members of the Standards of Conduct Committee, and2. John Griffiths (Welsh Labour) for Jayne Bryant (Welsh Labour), Llyr Gruffydd (Plaid Cymru) for Dafydd Elis-Thomas (Plaid Cymru), Andrew RT Davies (Welsh Conservatives) for Paul Davies (Welsh Conservatives) and Michelle Brown (UKIP Cymru) for David J Rowlands (UKIP Cymru) as alternate members of the Standards of Conduct Committee."
"54","NDM6073","NDM6073 - Assembly Debate","Elin Jones",2016-07-05,2016-07-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:1. Jayne Bryant (Welsh Labour), John Griffiths (Welsh Labour), Mike Hedges (Welsh Labour), Huw Irranca-Davies (Welsh Labour), Lynne Neagle (Welsh Labour), David Rees (Welsh Labour), Bethan Jenkins (Plaid Cymru), Dai Lloyd (Plaid Cymru), Simon Thomas (Plaid Cymru), Russell George (Welsh Conservatives), Nick Ramsay (Welsh Conservatives) and Mark Reckless (UKIP Cymru) as members of the Committee for the Scrutiny of the First Minister; and2. Ann Jones (Welsh Labour) as Chair of the Committee for the Scrutiny of the First Minister."
"55","NDM6074","NDM6074 - Short Debate","Mike Hedges",2016-07-06,2016-07-06,"Meeting Wales's housing need: Further action needed to increase housing supply"
"56","NDM6075","NDM6075 - Assembly Debate","Paul Davies",2016-07-06,2016-07-06,"To propose that the National Assembly for Wales:1. Notes the centennial anniversaries of the Battles of the Somme, Mametz Wood and the Battle of Jutland.2. Pays tribute to those who fought in these and other battles during the First World War.3. Honours the memory of both those who lost their lives and those who were casualties of the First World War, and other armed conflicts.4. Believes the Welsh Government must provide greater support to Wales's armed forces and veterans community during the fifth Assembly, including through:a) establishing an Armed Forces &amp; Veterans Commissioner, prioritising their specific need;b) introducing a Veterans Card Scheme to extend privileges to former service personnel;c) increasing funding for the Veterans' NHS Wales service, to enhance its capacity and improve its ability to help veterans in need; andd) improving data collection in order to: establish the health needs of veterans; identify  the support needed by their family and carers; inform commissioning and service provision; and highlight the engagement needed with people in the armed forces, serving and/or at transition into civilian life."
"57","NDM6076","NDM6076 - Assembly Debate","Elin Jones",2016-07-06,2016-07-06,"The National Assembly for Wales, in accordance with Standing Order 16.3:"
"58","NDM6077","NDM6077 - Assembly Debate","Simon Thomas",2016-07-06,2016-07-06,"To propose that the National Assembly for Wales:1. Notes the promises made to the people of Wales by those who campaigned for the UK's withdrawal from the European Union.2. Calls on the UK Government to ensure that such promises are fulfilled following withdrawal from the EU, including that:a) an additional £490 million a year will be made available for the Welsh NHS;b) the level of funding Wales currently receives from EU programmes will be maintained; c) the direct payment support received by Welsh farmers will be at least equal to that received through the Common Agricultural Policy; and d) the right of EU citizens at the time of Brexit to remain in the UK without fear or hindrance is guaranteed."
"59","NDM6078","NDM6078 - Assembly Debate","Elin Jones",2016-07-11,2016-07-11,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects David J Rowlands (UKIP Cymru) as a Member of the Business Committee in place of Mark Reckless (UKIP Cymru)."
"60","NDM6079","NDM6079 - Assembly Debate","Elin Jones",2016-07-11,2016-07-11,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Michelle Brown (UKIP Cymru) as a Member of the Children, Young People and Education Committee in place of Mark Reckless (UKIP Cymru)."
"61","NDM6080","NDM6080 - Assembly Debate","Elin Jones",2016-07-11,2016-07-11,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Nathan Gill (UKIP Cymru) as a Member of the Constitutional and Legislative Affairs Committee in place of Michelle Brown (UKIP Cymru)."
"62","NDM6081","NDM6081 - Assembly Debate","Elin Jones",2016-07-12,2016-07-12,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Nathan Gill (UKIP Cymru) as a Member of the Reserve Policy and Legislation Committee in place of Michelle Brown (UKIP Cymru)."
"63","NDM6082","NDM6082 - Government Debate","Jane Hutt",2016-09-06,2016-09-06,"To propose that the National Assembly for Wales:Notes the Welsh Government priorities for Substance Misuse as set out in the Substance Misuse Delivery Plan 2016-18.Substance Misuse Delivery Plan 2016-18"
"64","NDM6083","NDM6083 - Assembly Debate","Elin Jones",2016-09-07,2016-09-07,"To propose that the National Assembly for Wales, in accordance with Standing Order 16.3:Agrees to alter the remit of the External Affairs and Additional Legislation Committee, so that its remit is as follows:(a) to examine the implications for Wales of the United Kingdom's withdrawal from the European Union and to ensure Welsh interests are safeguarded during the withdrawal process, in any new relationship with the European Union and in the intra-UK post-withdrawal arrangements for relevant policy, finance and legislation;(b) to coordinate activity across Assembly committees in relation to point (a) above.(c) to carry out the functions of the responsible committee under Standing Orders 21.8 to 21.11, with a consequential change to the remit of the Constitutional and Legislative Affairs Committee;(d) to consider any other matter, including legislation, referred to it by the Business Committee."
"65","NDM6084","NDM6084 - Assembly Debate","Paul Davies",2016-09-07,2016-09-07,"To propose that the National Assembly for Wales:1. Notes that the retention of the frontline workforce is a major challenge facing the NHS in Wales.2. Believes that the Welsh Government must outline its response to recent increases in the number of vacancies for doctors in the Welsh NHS.3. Recognises, with concern, that stress-related illnesses are increasingly responsible for ambulance service staff being absent from work, and the impact this could have on the longer-term recruitment and retention of staff.4. Calls on the Welsh Government to implement a clear, comprehensive strategy which outlines how the Welsh Government will prioritise frontline staff recruitment and retention and tackle issues pertaining to low staff morale during the course of the fifth Assembly."
"66","NDM6085","NDM6085 - Assembly Debate","Simon Thomas",2016-09-07,2016-09-07,"To propose that the National Assembly for Wales:Calls on the Welsh Government to prioritise:(a) protecting Wales from the immediate fallout of Brexit; and(b) closing the prosperity gap between Wales and the rest of the United Kingdom by:(i) creating a Wales development agency for the 21st century which will sell Wales, our products and ideas to the world in order to grow Welsh businesses and boost our exports; (ii) establishing a national infrastructure commission for Wales to plan, fund and deliver our nation's transport, telecommunications, energy and green infrastructure; and(iii) increasing levels of procurement for businesses based in Wales."
"67","NDM6086","NDM6086 - Short Debate","Jenny Rathbone",2016-09-07,2016-09-07,"Will the Housing (Wales) Act 2014 be sufficient to deal with rogue landlords?"
"68","NDM6087","NDM6087 - Assembly Debate","Neil Hamilton",2016-09-07,2016-09-07,"To propose that the National Assembly for Wales:1. Believes that Brexit gives Wales a great opportunity to boost trade, industry and employment.2. Welcomes the freedom Brexit provides to create a tailor-made policy for Welsh agriculture and fishing.3. Calls on the Welsh Government to work closely in a positive frame of mind to capitalise on these opportunities and to involve all parties in the Assembly in its negotiations with the UK Government to maximise the potential benefits for Wales."
"69","NDM6088","NDM6088 - Member Debates","Simon Thomas",2016-09-12,2016-09-12,"To propose that the National Assembly for Wales:Calls on the Welsh Government to take decisive action to tackle bovine TB by committing to use the most effective measures to control and eradicate bovine TB and ensuring that testing and movement restrictions are proportionate to the disease status of an area."
"70","NDM6089","NDM6089 - Member Debates","Lee Waters",2016-09-13,2016-09-13,"To propose that the National Assembly for Wales:1. Recognises the multiple health and wellbeing benefits of physical activity.2. Notes that only 35 per cent of Welsh children are getting the recommended hour of physical activity that they need every day.3. Recognises the potential of the Active Travel (Wales) Act 2013 to raise levels of physical activity amongst all age groups.4. Calls on the Welsh Government to fully engage communities in identifying the new routes that would link up local destinations and would be most likely to be well used.'Active Travel (Wales) Act 2013'"
"71","NDM6090","NDM6090 - Government Debate","Ken Skates",2016-09-13,2016-09-13,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6 agrees that provisions in the Cultural Property (Armed Conflicts) Bill, relating to the protection of cultural property in the event of armed conflict in so far as they fall within the legislative competence of the National Assembly for Wales, should be considered by the UK Parliament.A Legislative Consent Memorandum has been laid in Table Office on 16 June 2016 in accordance with Standing Order 29.2(i). Cultural Property (Armed Conflicts) Bill [HL] 2016-17 — UK Parliament"
"72","NDM6091","NDM6091 - Assembly Debate","Elin Jones",2016-09-13,2016-09-13,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3 and 17.13(ii), elects Michelle Brown (UKIP Cymru) as a Member of the External Affairs and Additional Legislation Committee."
"73","NDM6092","NDM6092 - Short Debate","Vikki Howells",2016-09-14,2016-09-14,"Short Debate"
"74","NDM6093","NDM6093 - Assembly Debate","Paul Davies",2016-09-14,2016-09-14,"To propose that the National Assembly for Wales:1. Recognises the importance of transport connections within north Wales, and between north Wales and the north west of England, and the Midlands.2. Believes that the proposals contained within the ""Growth Vision for the Economy of North Wales"" offers the basis for improving the economic performance of north Wales.3. Calls upon the Welsh Government to: (a) publish a plan to improve and upgrade the A55 trunk road to address problems with congestion, flood risk, and lack of hard shoulder in some areas;(b) work with the UK Government and the North Wales Economic Ambition Board to deliver upgrades to the north Wales line;(c) work with stakeholders to establish an integrated transport travel card scheme for north Wales;(d) publish a detailed business plan for the development of the North Wales Metro.Growth Vision for the Economy of North Wales"
"75","NDM6094","NDM6094 - Assembly Debate","Neil Hamilton",2016-09-14,2016-09-14,"To propose that the National Assembly for Wales:1. Acknowledges the important role played by grammar schools in promoting social mobility and giving children from poorer backgrounds access to a first class education.2. Notes that a reduction in social mobility has gone hand in hand with a cut in grammar school places. 3. Believes in diversity in secondary education, which gives children the right to a grammar school education if parents so desire, and supports enhanced status for technical and vocational education and the re-introduction of grammar schools in Wales to produce an educational system which provides the best opportunities for children of all abilities."
