"","user_id","name","screen_name","location","description","followers_count","friends_count","listed_count","created_at","favourites_count","statuses_count","profile_image_url","timestamp"
"19",377424210,"Ken Skates AM","KenSkatesAM",NA,"Welsh Labour AM for Clwyd South & @wgcs_economy. For constituency matters email ken.skates@assembly.wales. Also on Facebook: https://t.co/8Ya5s2AWoO",8737,1877,136,2011-09-21 15:14:35,536,4621,"http://pbs.twimg.com/profile_images/802131126852718592/rJVJWM94_normal.jpg",2018-04-08 04:08:00
"20",357381026,"Dafydd Elis-Thomas","ElisThomasD","BetwsyCoed Caerdydd/Cardiff SanSteffan/Westminster","Cyfrif personol AC Dwyfor Meirionnydd AM personal account: Gweinidog Diwylliant Twristiaeth a Chwaraeon; Minister for Culture,Tourism and Sport; @wgmin_culture",9383,10243,228,2011-08-18 08:23:58,8434,30530,"http://pbs.twimg.com/profile_images/881888750804054017/M7CniRdO_normal.jpg",2018-04-08 04:08:00
"21",342028286,"MickAntoniw AM","MickAntoniw1","Pontypridd","Labour and Co Operative Member National Assembly of Wales for Pontypridd; solicitor and trades unionist. Tweets in personal capacity",4377,1178,127,2011-07-25 10:51:45,2582,14357,"http://pbs.twimg.com/profile_images/715827298684051457/7HdwEHu8_normal.jpg",2018-04-08 04:08:00
"22",342026335,"Jayne Bryant AM","JBryantWales","Newport, Wales","Welsh Labour Assembly Member for Newport West. Newportonian, injustice fighter, bookworm, rugby & County fan, animal lover and culture vulture.",4142,1779,85,2011-07-25 10:46:03,8819,8153,"http://pbs.twimg.com/profile_images/640647252919328768/DyypBDFx_normal.jpg",2018-04-08 04:08:00
"23",333931934,"Mike Hedges","MikeHedgesAM","Swansea","@WelshLabour assembly member Swansea East. Former @SwanseaCouncil Leader & Morriston Ward Councillor - Tweeting in a personal capacity",5017,1074,118,2011-07-12 09:32:28,6965,6351,"http://pbs.twimg.com/profile_images/2246908940/image_normal.jpg",2018-04-08 04:08:00
"24",327397366,"Julie James AM","JulieJamesAM","Swansea, Wales","Labour Assembly Member for Swansea West, Personal Tweets. follow wg_loh for my Welsh Goverment twitterfeed",5272,1543,152,2011-07-01 14:08:34,9008,15665,"http://pbs.twimg.com/profile_images/970272424510935042/mfjay4J__normal.jpg",2018-04-08 04:08:00
"25",294756257,"Rebecca Evans AM","RebeccaEvansAM","Wales","Welsh Labour Assembly Member for Gower. Find my Minister for Housing and Regeneration account at @wgmin_housing",8530,2899,178,2011-05-07 18:19:35,17922,11983,"http://pbs.twimg.com/profile_images/816608624042770432/z3bGl8a7_normal.jpg",2018-04-08 04:08:00
"26",277927587,"Eluned Morgan","Eluned_Morgan",NA,"Labour Assembly Member for Mid & West Wales. Member House of Lords, Former MEP. Aelod Llafur dros Gor a Chanol Cymru. Aelod o Dy'r Arglwyddi, cyn ASE.",3565,789,92,2011-04-06 07:54:22,198,3518,"http://pbs.twimg.com/profile_images/956252226468622337/ZlbHi_BD_normal.jpg",2018-04-08 04:08:00
"27",236909222,"JaneHutt AM","JaneHutt","Vale of Glamorgan","AM for the Vale of Glamorgan, re-elected May 2016. Some tweets by support staff. RTs not endorsements",7075,1166,168,2011-01-11 17:00:15,588,3434,"http://pbs.twimg.com/profile_images/973653429061959681/5fZyEcgU_normal.jpg",2018-04-08 04:08:00
"28",235773325,"Rhianon Passmore","rhi4islwyn","Wales UK","Rhianon Passmore AM Islwyn Labour 
Co-operative Assembly Member (Yes indeed - all my tweets in a personal capacity!) https://t.co/zF0lu1WPZp",2460,2911,68,2011-01-09 01:59:22,8020,8846,"http://pbs.twimg.com/profile_images/969996598817247232/CMkTcMKM_normal.jpg",2018-04-08 04:08:00
"29",224684497,"Elin Jones","ElinCeredigion","Ceredigion","AC Ceredigion AM",9127,2062,186,2010-12-09 16:19:12,2748,12292,"http://pbs.twimg.com/profile_images/982368546327072768/njDjZ4CU_normal.jpg",2018-04-08 04:08:00
"30",211864158,"Vaughan Gething AM","vaughangething","Cardiff","Welsh Labour & Co-Op Assembly Member for Cardiff South & Penarth. RTs not necessarily endorsements. For Ministerial business follow @wgcs_health",10771,1450,212,2010-11-04 13:45:58,2200,14785,"http://pbs.twimg.com/profile_images/725980330562195456/fW9ky2eI_normal.png",2018-04-08 04:08:00
"31",207667494,"Mark Drakeford AM","MarkDrakeford","Cardiff","AM for Cardiff West. Constituency and campaigning issues only. Cab Sec for Finance account @wgcs_finance. Retweeting is not endorsing. https://t.co/oAfGkbjpDA",7519,489,170,2010-10-25 20:04:23,55,608,"http://pbs.twimg.com/profile_images/971363883805040641/8ZsQf5dA_normal.jpg",2018-04-08 04:08:00
"32",206116818,"Mark Isherwood AM","MarkIsherwoodAM","North Wales","Welsh Conservative Assembly Member for North Wales",4443,2089,176,2010-10-22 09:31:35,1262,5908,"http://pbs.twimg.com/profile_images/1150039841/Mark_normal.jpg",2018-04-08 04:08:00
"33",202240843,"Angela Burns","AngelaBurnsAM","Wales","@WelshConserv Assembly Member for Carmarthen West & South Pembrokeshire and Shadow CS Health & Wellbeing",4132,988,149,2010-10-13 16:16:17,937,3596,"http://pbs.twimg.com/profile_images/601063480070950912/xScOyC3Y_normal.jpg",2018-04-08 04:08:00
"34",202193356,"Mohammad Asghar AM","MohammadAsghar","Newport, Wales, UK","Third term as an AM & Lead Conservative Regional Welsh Assembly Member for South Wales East",2998,1034,127,2010-10-13 14:15:37,614,2968,"http://pbs.twimg.com/profile_images/810554265861230593/I7-btEPF_normal.jpg",2018-04-08 04:08:00
"35",201258574,"Lesley Griffiths","lesley4wrexham","Wrexham","Welsh Labour Assembly Member - Wrexham. Loves my 2 daughters, Wrexham AFC & walking. Co owner of Wrexham AFC. Personal account. Ministerial account @wgcs_rural",7609,2360,201,2010-10-11 13:15:19,4615,12012,"http://pbs.twimg.com/profile_images/599338325246398464/ZXCH1gGI_normal.jpg",2018-04-08 04:08:00
"36",196968085,"Nick Ramsay","NickRamsayAM","Wales","Monmouth AM & Chair of Assembly Public Accounts Committee. Tweets are personal to me and not necessarily the views of the Welsh Conservative Party",4950,2280,157,2010-09-30 10:18:20,481,2091,"http://pbs.twimg.com/profile_images/439037691834167297/HP2rzaFL_normal.jpeg",2018-04-08 04:08:00
"37",181936890,"Andrew RT Davies","AndrewRTDavies",NA,"Leader of the Welsh Conservatives, NAfW <U+0095> @WelshConserv AM for South Wales Central <U+0095> Husband, father and farmer <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>",8232,1124,222,2010-08-23 12:21:54,2386,10742,"http://pbs.twimg.com/profile_images/930074227771953152/BrHJygMn_normal.jpg",2018-04-08 04:08:00
"38",167137006,"Simon Thomas","SimonThomasAC","Dinasydd y Byd/World Citizen","AC Plaid Cymru AM Cadeirydd y Pwyllgor Cyllid/Chair of Finance Committee Newid Hinsawdd, Ynni a Materion Gwledig Climate Change, Energy and Rural Affairs <f0><U+009F><U+0087><U+00AA><f0><U+009F><U+0087><U+00BA>",7467,560,179,2010-07-15 21:09:13,1940,24727,"http://pbs.twimg.com/profile_images/621497512638201856/HyyL8rZm_normal.jpg",2018-04-08 04:08:00
"39",156992643,"Huw Irranca-DaviesAM","huw4ogmore","Ogmore","Welsh Labour & Co-Op AM & former MP for Ogmore, father, husband, rambler, cylist and sudokoholic. NOT my ministerial account (follow @wgmin_csc for that)",13107,1610,487,2010-06-18 14:32:57,7783,21473,"http://pbs.twimg.com/profile_images/975087109580181504/5XJ6pVSK_normal.jpg",2018-04-08 04:08:00
"40",146958275,"Russell George AM","russ_george","Wales","Conservative Assembly Member for Montgomeryshire",4298,1472,131,2010-05-22 20:27:15,712,4096,"http://pbs.twimg.com/profile_images/942548152812474368/F5T9un5s_normal.jpg",2018-04-08 04:08:00
"41",126276020,"Rhun ap Iorwerth","RhunapIorwerth",NA,"Aelod Cynulliad Ynys M<f4>n Assembly Member - @Plaid_Cymru",11192,1088,165,2010-03-25 09:58:20,2717,13840,"http://pbs.twimg.com/profile_images/747340535174569984/KYu-hAtd_normal.jpg",2018-04-08 04:08:00
"42",102976802,"Julie Morgan","JulieMorganLAB","Cardiff","Welsh Labour Assembly Member for Cardiff North. Committed to improving the lives of people in Cardiff North.
Aelod Cynulliad Llafur Cymru dros Ogledd Caerdydd.",7827,1633,216,2010-01-08 13:02:19,1331,4916,"http://pbs.twimg.com/profile_images/716924020239777792/sP48vQ9-_normal.jpg",2018-04-08 04:08:00
"43",91880838,"Sian Gwenllian AC/AM","siangwenfelin","Arfon <U+00B7> Caerdydd","Aelod Cynulliad ARFON Welsh Assembly Member @Plaid_Cymru | 01286 672 076 | 8 Stryd y Castell | Caernarfon | LL55 1SE Sian.Gwenllian@Cynulliad.Cymru",3896,1096,78,2009-11-22 22:21:43,4375,12483,"http://pbs.twimg.com/profile_images/780495523816038400/vrGI-UV1_normal.jpg",2018-04-08 04:08:00
"44",88921783,"Janet Finch-Saunders","JFinchSaunders","Aberconwy. North Wales","Welsh Conservative Assembly Member",4211,563,171,2009-11-10 12:57:47,8313,23386,"http://pbs.twimg.com/profile_images/964575359101521927/8gjM2bbw_normal.jpg",2018-04-08 04:08:00
"45",86805511,"Lee Waters AM","Amanwy","Wales","Welsh Labour & Co-operative Assembly Member for the Llanelli constituency.",6007,2484,120,2009-11-01 21:23:31,6899,29206,"http://pbs.twimg.com/profile_images/778338983382220800/M9xVAsHe_normal.jpg",2018-04-08 04:08:00
"46",83604475,"Alun Davies <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>","AlunDaviesAM","Tredegar, Blaenau Gwent","Personal account as AM for Blaenau Gwent and member of Labour's NEC. Cyfrif personol AC Blaenau Gwent a pwyllgor gwaith Llafur.",7475,4594,200,2009-10-19 13:55:13,1126,9161,"http://pbs.twimg.com/profile_images/1187078925/6fb8ece1-73d4-43e0-ab69-574597ea181f_normal.png",2018-04-08 04:08:00
"47",79801266,"Jeremy Miles AC/AM","Jeremy_Miles","Alltwen","Welsh Labour & Co-op AM for Neath AC Llafur & Chydweithredol Castell-nedd. Counsel General in Welsh Govt. Cwnsler Cyffredinol Llywodraeth Cymru. Views & RTs etc",4339,2842,85,2009-10-04 18:48:39,9006,9136,"http://pbs.twimg.com/profile_images/977967388015677440/x3YRtmZK_normal.jpg",2018-04-08 04:08:00
"48",70472374,"Jenny Rathbone AM","JennyRathbone","Cardiff Central","Welsh Labour Assembly Member for Cardiff Central.
https://t.co/6r3IfQc78J",5281,1028,169,2009-08-31 19:08:33,1499,6303,"http://pbs.twimg.com/profile_images/890579908585508864/cYMgZbVZ_normal.jpg",2018-04-08 04:08:00
"49",66774405,"Mark Reckless AM","MarkReckless","Cardiff and South-East Wales","Member of Welsh Assembly Conservative Group representing South Wales East, as well as a lawyer, economist, husband and father.",22825,716,563,2009-08-18 19:30:58,233,12244,"http://pbs.twimg.com/profile_images/741215962117091328/mBeDoFuG_normal.jpg",2018-04-08 04:08:00
"50",50294775,"Dawn Bowden AM","Dawn_Bowden","Merthyr Tydfil, Wales","Welsh Labour Assembly Member, Merthyr Tydfil & Rhymney. Socialist, trade unionist, Mum, step Mum, wife, Bristol City & Merthyr Town supporter. Tweets personal.",3881,1449,91,2009-06-24 12:48:17,38048,25149,"http://pbs.twimg.com/profile_images/930563781427695616/Ur7nLSVd_normal.jpg",2018-04-08 04:08:00
"51",43343554,"Llyr Gruffydd AC/AM","LlyrGruffydd","North Wales / Gogledd Cymru","Plaid Cymru The Party of Wales Assembly Member for North Wales. Aelod Cynulliad Gogledd Cymru.",7130,1891,184,2009-05-29 14:53:26,1878,7543,"http://pbs.twimg.com/profile_images/804292770663976960/G5cSrU6i_normal.jpg",2018-04-08 04:08:00
"52",41380650,"suzy davies","suzydaviesam",NA,"Welsh Conservative Assembly Member for South Wales West. Tweets personal to me not necessarily views of the Conservative Party",4729,1801,162,2009-05-20 15:29:56,2777,10986,"http://pbs.twimg.com/profile_images/739518440826916864/4pXo1j4z_normal.jpg",2018-04-08 04:08:00
"53",27855414,"Darren Millar AM","DarrenMillarAM","North Wales and Cardiff Bay","Husband, dad, @GWR holder and @WelshConserv Assembly Member for Clwyd West.",6838,1972,233,2009-03-31 11:57:11,3,18296,"http://pbs.twimg.com/profile_images/798078421364600832/wG8_otdM_normal.jpg",2018-04-08 04:08:00
"54",21188144,"Steffan Lewis <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>","steffanlewis","Gwent","Party of Wales Assembly Member for the South East Region / Aelod Cynulliad Plaid Cymru dros Ranbarth y De Ddwyrain. Account managed by staff.",2562,746,88,2009-02-18 11:39:23,738,433,"http://pbs.twimg.com/profile_images/743111833935073282/uEcqFT3A_normal.jpg",2018-04-08 04:08:00
"55",19188399,"Adam Price","Adamprice","Dwyrain Caerfyrddin a Dinefwr","Aelod Cynulliad Dwyrain Caerfyrddin a Dinefwr/Assembly Member for Carmarthen East and Dinefwr",9585,1661,215,2009-01-19 16:05:55,1929,5269,"http://pbs.twimg.com/profile_images/915513965505064965/FISPGrPE_normal.jpg",2018-04-08 04:08:00
"56",18609412,"Hannah Blythyn AM","hannahblythyn","Delyn, North Wales","<f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF> Welsh Labour Assembly Member for Delyn / Aelod Cynulliad Llafur Cymru dros Delyn / Personal twitter profile / For ministerial go to @wgmin_enviro",4597,2617,114,2009-01-04 19:40:22,1230,10183,"http://pbs.twimg.com/profile_images/927286713067757569/jCQmnLui_normal.jpg",2018-04-08 04:08:00
"57",16980982,"Kirsty Williams","Kirsty_Williams","Wales","Proud to be the @WelshLibDems Assembly Member for Brecon & Radnorshire",12613,1822,347,2008-10-26 14:43:49,1104,3890,"http://pbs.twimg.com/profile_images/2848429175/d93f9bb0f3c9655d92137c55ee728b93_normal.png",2018-04-08 04:08:00
"58",14450739,"LeanneWood <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>","LeanneWood","Rhondda","Leader/Arweinydd Plaid Cymru - the Party of Wales. Aelod Cynulliad / Assembly Member for the Rhondda.",55708,858,701,2008-04-20 10:42:39,2487,23987,"http://pbs.twimg.com/profile_images/754735982323245056/tJ22GVtP_normal.jpg",2018-04-08 04:08:00
"59",14193779,"Bethan Sayed AM/AC <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>","bethanjenkins","Neath/Castell Nedd","Plaid Cymru politician, NAFW. Viola player,<U+2764>nordic drama, travel, fitness. Married to @iamrayhill Regional AM office in Port Talbot- contact 01639 820530",12340,7700,321,2008-03-21 21:40:33,6848,45899,"http://pbs.twimg.com/profile_images/834188330757652480/vG_Qdin3_normal.jpg",2018-04-08 04:08:00
